descriptive_name,currency_code,level,id,status,time_zone,manager
zzz - Tourism Sun Peaks,USD,2,4506575607,CANCELED,America/Denver,False
zClient CC - The Mark CN,CAD,2,9520321580,CANCELED,America/Vancouver,False
westvanrec,CAD,1,4349090388,ENABLED,America/Vancouver,False
Zhi Herbals,CAD,1,1005776682,ENABLED,America/Vancouver,False
Z-Client-CC-OnniCentral,CAD,2,9274339412,CANCELED,America/Vancouver,False
Wiegele 04/11/19,CAD,1,6856413774,ENABLED,America/Vancouver,False
Whitecapsfc.com,CAD,1,1956565472,CANCELED,America/Vancouver,False
Westhills BC (Old),CAD,1,9976592014,ENABLED,America/Vancouver,False
Wesgroup - Branded,CAD,1,7857299321,CANCELED,America/St_Johns,False
War Room Test USD - Final,USD,1,9084059047,CANCELED,America/Phoenix,False
War Room Test - USD,CAD,1,6121646544,CANCELED,America/Phoenix,False
WR - Zhi Herbals,CAD,1,9454468113,ENABLED,America/Vancouver,False
WR - Whitecaps FC,CAD,1,7228009205,ENABLED,America/Vancouver,False
WR - Whistler Medical Aesthetics,CAD,1,6940748095,ENABLED,America/Vancouver,False
WR - Westhills,CAD,1,5294855745,ENABLED,America/Vancouver,False
WR - West Coast Soaring Club - Ad Grant,USD,1,6976403919,ENABLED,America/Los_Angeles,False
WR - Wesgroup - The Nelson,CAD,2,1320797609,ENABLED,America/Vancouver,False
WR - Wesgroup - One Fifty Braid,CAD,2,2674012633,ENABLED,America/Vancouver,False
WR - Wesgroup - Mode,CAD,2,1143405000,ENABLED,America/Whitehorse,False
WR - Wesgroup - Inlet District,CAD,2,7641275335,ENABLED,America/Vancouver,False
WR - Wesgroup - Harlin,CAD,2,2272232841,ENABLED,America/Vancouver,False
WR - Wesgroup - Fynn,CAD,2,6043178545,ENABLED,America/Vancouver,False
WR - Wesgroup - Fynn,CAD,2,7815211344,CANCELED,America/Vancouver,False
WR - Wesgroup - Fynn,CAD,2,8215628503,CANCELED,America/Vancouver,False
WR - Wesgroup - Dunbar at 39th,CAD,2,1952316546,ENABLED,America/Vancouver,False
WR - Wesgroup - Briar Block,CAD,2,6039606699,CANCELED,America/Vancouver,False
WR - Wesgroup - Ardea,CAD,2,2213759233,ENABLED,America/Vancouver,False
WR - Wesgroup,CAD,1,3265917243,ENABLED,America/Vancouver,True
WR - Wave Skin Care,CAD,1,1088889517,ENABLED,America/Vancouver,False
WR - War Room,CAD,1,1581068606,ENABLED,America/Vancouver,False
WR - Voltsafe,CAD,1,7198678325,ENABLED,America/Vancouver,False
WR - Vetta Nordic Spa,CAD,1,1617406386,ENABLED,America/Vancouver,False
WR - Vanex Group,CAD,1,4171513642,ENABLED,America/Vancouver,False
WR - V2V Vacations,CAD,1,7166753566,ENABLED,America/Vancouver,False
WR - University of Metaphysical Sciences (UMS) - Ad Grant,USD,1,2246822346,ENABLED,America/Vancouver,False
WR - US Club Soccer - Ad Grant,USD,1,7600457494,ENABLED,America/Los_Angeles,False
WR - Tyax Lodge & Heliskiing,CAD,1,1289010703,ENABLED,America/Vancouver,False
WR - Tripster,CAD,1,2296530107,ENABLED,America/Vancouver,False
WR - Trippzy,CAD,1,3489236346,CANCELED,America/Vancouver,False
WR - Tourism Tofino,CAD,1,5678811328,ENABLED,America/Vancouver,False
WR - Tourism Sun Peaks,CAD,1,2279966317,ENABLED,America/Vancouver,False
WR - Tourism Smithers - Ad Grant,USD,1,6928698009,ENABLED,America/Vancouver,False
WR - Tourism Kamloops,CAD,1,6355158684,ENABLED,America/Whitehorse,False
WR - Tourism Golden - Ad Grant,USD,1,1646743219,ENABLED,America/Vancouver,False
WR - Tourism Golden,CAD,1,6145285327,ENABLED,America/Edmonton,False
WR - Tourism Burnaby - Ad Grant,USD,1,1946611812,ENABLED,America/Vancouver,False
WR - Tourism Burnaby,CAD,1,5023405877,ENABLED,America/Vancouver,False
WR - Tour the Triangle,CAD,1,4337871692,CANCELED,America/Whitehorse,False
WR - Three Bars Ranch,CAD,1,6174023386,ENABLED,America/Vancouver,False
WR - The Bay Centre,CAD,1,2772277426,ENABLED,America/Vancouver,False
WR - Test Account,CAD,1,5178436158,CANCELED,America/Vancouver,False
WR - Test (Old),CAD,1,5189014791,CANCELED,America/Vancouver,False
WR - TOTA - Ad Grant,USD,1,8656567601,ENABLED,America/Vancouver,False
WR - Sunshine Coast Tourism - Ad Grant,USD,1,3487504813,ENABLED,America/Vancouver,False
WR - Sun Peaks Resort,CAD,1,1424722287,ENABLED,America/Vancouver,False
